Bear ID,Time,Period,Treatment,PropDev,DistDev
F10 ,Pre,night,control,0.618933976,0
F04 ,Post,day  ,AC     ,0.626093864,0
F12 ,Post,day  ,control,0.626093864,0
M28 ,Pre,day  ,AC     ,0.628480524,0
F13 ,Pre,night,AC     ,0.634049326,0
F13 ,Pre,day  ,AC     ,0.641209215,0
M17 ,Pre,day  ,AC     ,0.641209215,0
M17 ,Pre,day  ,AC     ,0.641209215,0
M17 ,Post,day  ,AC     ,0.641209215,0
M17 ,Pre,day  ,AC     ,0.642800331,0
M17 ,Pre,day  ,AC     ,0.645982504,0
M17 ,Pre,day  ,AC     ,0.664280027,0
M17 ,Post,night,AC     ,0.66507557,0
F13 ,Post,day  ,AC     ,0.666666657,0
F05 ,Pre,night,control,0.676213205,0
F13 ,Pre,night,AC     ,0.680986464,0
F05 ,Pre,night,control,0.686555296,0
F05 ,Pre,night,control,0.688146383,0
F04 ,Post,day  ,AC     ,0.696897388,0
M28 ,Pre,day  ,AC     ,0.701670647,0
M28 ,Post,day  ,AC     ,0.71758154,0
F05 ,Post,night,control,0.725537002,0
F05 ,Pre,night,control,0.736674637,0
F05 ,Post,night,control,0.736674637,0
F05 ,Post,day  ,control,0.740652353,0
F05 ,Post,day  ,control,0.740652353,0
F05 ,Post,day  ,control,0.740652353,0
F05 ,Post,day  ,control,0.740652353,0
F05 ,Post,day  ,control,0.740652353,0
F05 ,Post,night,control,0.747812241,0
F05 ,Post,night,control,0.749403328,0
M17 ,Pre,day  ,AC     ,0.754176617,0
M17 ,Post,day  ,AC     ,0.754176617,0
M17 ,Post,day  ,AC     ,0.758154333,5
M17 ,Post,day  ,AC     ,0.758154333,5
M17 ,Pre,day  ,AC     ,0.760540977,0
F05 ,Post,night,control,0.760540977,0
M17 ,Pre,day  ,AC     ,0.762132064,0
M17 ,Pre,day  ,AC     ,0.762132064,0
M17 ,Pre,day  ,AC     ,0.762132064,0
M17 ,Pre,day  ,AC     ,0.762132064,0
M17 ,Post,night,AC     ,0.762132064,0
F13 ,Pre,day  ,AC     ,0.774065241,0
F13 ,Pre,night,AC     ,0.778042957,0
M17 ,Post,night,AC     ,0.7788385,0
M17 ,Post,day  ,AC     ,0.789180592,0
F13 ,Pre,night,AC     ,0.793953866,0
M17 ,Post,day  ,AC     ,0.802704856,0
M28 ,Post,night,AC     ,0.802704856,0
M17 ,Pre,day  ,AC     ,0.805887029,0
F13 ,Pre,night,AC     ,0.80747813,0
F13 ,Pre,day  ,AC     ,0.810660303,0
F12 ,Pre,day  ,control,0.813046932,0
F13 ,Post,day  ,AC     ,0.815433577,0
F12 ,Pre,day  ,control,0.818615749,0
F12 ,Pre,day  ,control,0.818615749,0
F13 ,Pre,day  ,AC     ,0.821002394,0
F13 ,Pre,day  ,AC     ,0.824184567,0
M28 ,Pre,day  ,AC     ,0.824184567,0
F13 ,Pre,night,AC     ,0.82498011,0
F10 ,Pre,night,control,0.830548927,0
F12 ,Pre,day  ,control,0.834526658,0
M28 ,Pre,night,AC     ,0.841686562,0
M21 ,Pre,day  ,control,0.844073191,0
F12 ,Post,night,control,0.849642009,0
M28 ,Pre,night,AC     ,0.854415268,0
F13 ,Pre,night,AC     ,0.856801912,0
M17 ,Pre,day  ,AC     ,0.857597455,0
F12 ,Pre,night,control,0.859188542,0
F12 ,Pre,night,control,0.859188542,0
M17 ,Pre,day  ,AC     ,0.860779628,0
M17 ,Pre,day  ,AC     ,0.863166273,0
F12 ,Post,night,control,0.863961816,0
M17 ,Pre,day  ,AC     ,0.869530633,0
M21 ,Pre,day  ,control,0.869530633,0
F10 ,Pre,day  ,control,0.876690537,0
F04 ,Post,day  ,AC     ,0.876690537,0
M28 ,Pre,night,AC     ,0.88066826,0
F12 ,Post,night,control,0.888623707,0
F13 ,Post,day  ,AC     ,0.904534608,0
M17 ,Post,day  ,AC     ,0.904534608,0
F10 ,Pre,night,control,0.906125695,0
M17 ,Post,day  ,AC     ,0.906921238,0
M17 ,Pre,day  ,AC     ,0.912490055,0
M17 ,Post,day  ,AC     ,0.913285598,0
M17 ,Post,day  ,AC     ,0.913285598,0
M17 ,Post,day  ,AC     ,0.913285598,0
F04 ,Post,night,AC     ,0.918058872,0
F10 ,Post,night,control,0.927605413,0
M17 ,Pre,day  ,AC     ,0.929196499,0
M17 ,Post,day  ,AC     ,0.929196499,0
M28 ,Pre,day  ,AC     ,0.931583136,0
M17 ,Post,day  ,AC     ,0.931583136,0
F12 ,Pre,night,control,0.93556086,0
M28 ,Post,day  ,AC     ,0.946698487,0
F13 ,Post,day  ,AC     ,0.949880667,0
F10 ,Pre,night,control,0.952267304,0
F12 ,Pre,day  ,control,0.956245027,0
F12 ,Pre,day  ,control,0.956245027,0
F12 ,Pre,day  ,control,0.956245027,0
M17 ,Post,night,AC     ,0.959427208,0
F04 ,Post,night,AC     ,0.965791568,0
F10 ,Pre,day  ,control,0.966587111,0
M17 ,Post,night,AC     ,0.968973747,0
F10 ,Pre,night,control,0.971360382,0
M17 ,Post,night,AC     ,0.971360382,0
M28 ,Pre,night,AC     ,0.974542562,0
F12 ,Pre,night,control,0.980111375,0
F04 ,Post,night,AC     ,0.980111375,0
F12 ,Pre,night,control,0.982498011,0
M17 ,Pre,day  ,AC     ,0.988862371,0
M28 ,Pre,day  ,AC     ,0.988862371,0
M17 ,Post,day  ,AC     ,0.988862371,0
M17 ,Post,day  ,AC     ,0.988862371,0
M17 ,Post,day  ,AC     ,0.988862371,0
M17 ,Post,day  ,AC     ,0.988862371,0
F04 ,Post,night,AC     ,0.99045346,0
F04 ,Post,day  ,AC     ,0.99522673,0
M17 ,Post,night,AC     ,0.99522673,0
F12 ,Pre,night,control,0.996022275,0
F10 ,Post,day  ,control,0.996022275,0
M17 ,Post,night,AC     ,0.996022275,0
F04 ,Pre,day  ,AC     ,1,0
F04 ,Pre,day  ,AC     ,1,0
F10 ,Pre,day  ,control,1,0
F10 ,Pre,day  ,control,1,0
F10 ,Pre,day  ,control,1,0
F10 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,day  ,control,1,0
F12 ,Pre,night,control,1,0
F12 ,Pre,night,control,1,0
F12 ,Pre,night,control,1,0
F12 ,Pre,night,control,1,0
F12 ,Pre,night,control,1,0
F12 ,Pre,night,control,1,0
F13 ,Pre,day  ,AC     ,1,0
F13 ,Pre,day  ,AC     ,1,0
F13 ,Pre,day  ,AC     ,1,0
F13 ,Pre,day  ,AC     ,1,0
F13 ,Pre,day  ,AC     ,1,0
F13 ,Pre,day  ,AC     ,1,0
